Begrotingsjaar,Begrotings hoofdstuk,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, K voor de Koning, KB voor I t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel. Zie rbv voor definitie,Programma of Apparaat,V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel J/N,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument, zie rbv 1.33d toelichting regel 4. Dit geldt ook voor apparaat",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Programma,U,N,2,Duurzame economische ontwikkeling,Subsidies,IUCN,,963,938,0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Programma,U,N,2,Duurzame economische ontwikkeling,Subsidies,Subsidies Carbisch Nederland,,16,60,0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Programma,U,N,2,Duurzame economische ontwikkeling,Inkomensoverdracht,Pensioenen,,"4,205","5,009",0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Programma,U,N,2,Duurzame economische ontwikkeling,Bijdragen aan andere overheden,Sociaal-economische initiatieven BES,,"1,831","3,634",0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Programma,U,N,2,Duurzame economische ontwikkeling,Bijdragen aan (inter)nationale organisaties,Samenwerkingsprogramma`s,,"7,887","7,268",0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Programma,U,N,4,Schuldsanering,Leningen,Lopende inschrijving,,"348,565","299,698",0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,1,"Curacao, Sint Maarten en Aruba",Opdrachten,"Onderzoek, Kennisoverdracht en Comm.",,0,0,1496,"1,546","1,471","1,471","1,471",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,1,"Curacao, Sint Maarten en Aruba",Inkomensoverdracht,Toeslagen op pensioenen NA,,0,0,5009,"5,009","5,009","5,009","5,009",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,1,"Curacao, Sint Maarten en Aruba",Bijdragen aan (inter)nationale organisaties,"Onderzoek, Kennisoverdracht en Comm.",,0,0,2955,"2,918","2,993","2,993","2,993",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,2,Caribisch Nederland,Subsidies,Subsidies Caribisch Nederland,,0,0,60,60,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,2,Caribisch Nederland,Opdrachten,"Onderzoek, Kennisoverdracht en Comm.",,0,0,1693,"1,893",953,"2,453","2,453",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,2,Caribisch Nederland,Bijdragen aan andere overheden,Bijzondere uitkering sociaal-economische initiatieven,,0,0,1846,"1,498","1,380","1,380","1,380",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,4,,Bevorderen sociaal-economische structuur,Beleidsartikel,N,Programma,U,N,2,Caribisch Nederland,Bijdragen aan andere overheden,"Onderzoek, Kennisoverdracht en Comm.",,0,0,1500,"1,500","1,500",0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,5,,Schuldsanering/lopende inschrijving/leningen,Beleidsartikel,N,Programma,U,N,1,Schuldsanering landen Curacao en Sint Maarten,Leningen,Schuldsanering,,0,0,149929,"186,981","172,431","28,517","28,516",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,6,,Apparaat,Niet Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Personele uitgaven,Eigen personeel,,0,0,18635,"17,901","17,102","16,711","15,811",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,6,,Apparaat,Niet Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Personele uitgaven,Externe inhuur,,0,0,71,71,71,71,71,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,6,,Apparaat,Niet Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Personele uitgaven,Overig personeel,,0,0,325,325,325,325,325,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,6,,Apparaat,Niet Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Materiële uitgaven,Overig materieel,,0,0,2435,"2,641","2,522","2,522","2,522",,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,Subsidies,Internationaal recht,,,"7,135",6385,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,bijdragen aan medeoverheden,Verenigde Naties,,,"40,501",40501,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,bijdragen aan medeoverheden,OESO,,,"6,625",6425,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,bijdragen aan medeoverheden,VN-campagne VN veiligheidsraad,,,"1,780",1570,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,bijdragen aan medeoverheden,Internationaal Strafhof,,,"3,040",3040,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,Subsidies,Landenprogramma's mensenrechten,,,"13,915",12415,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,Subsidies,Bevordering van het vrije woord,,,"14,000",14000,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,bijdragen aan medeoverheden,Landenprogramma's mensenrechten,,,"22,505",21505,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,beleidsartikel,Nee,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,bijdragen aan medeoverheden,Centrale mensenrechtenprogramma's,,,"7,750",7750,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Subsidies,Programma ondersteuning buitenlands beleid,,,"2,500",2250,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Subsidies,Atlantische Commissie,,,500,500,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,bijdragen aan medeoverheden,NAVO,,,"15,713",9807,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,bijdragen aan medeoverheden,Veiligheidsfonds,,,"2,250",1700,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,bijdragen aan medeoverheden,WEU,,,610,565,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.2,Bestrijding en terugdringing van internationaal terrorisme en andere vormen van internationale criminaliteit,Subsidies,Anti-terrorisme instituut,,,400,300,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.2,Bestrijding en terugdringing van internationaal terrorisme en andere vormen van internationale criminaliteit,Opdrachten,Global Forum on Cyber Expertise,,,,800,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.2,Bestrijding en terugdringing van internationaal terrorisme en andere vormen van internationale criminaliteit,bijdragen aan medeoverheden,Contra-terrorisme,,,,6800,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.3,"Bevordering van ontwapening en wapenbeheersing, bestrijding van proliferatie van massavernietigingswapens en het voeren van een transparant en verantwoord wapenexportbeleid",bijdragen aan medeoverheden,IAEA,,,"7,317",7317,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.3,"Bevordering van ontwapening en wapenbeheersing, bestrijding van proliferatie van massavernietigingswapens en het voeren van een transparant en verantwoord wapenexportbeleid",bijdragen aan medeoverheden,OPCW en andere ontwapeningsorganisaties,,,"3,585",1557,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.3,"Bevordering van ontwapening en wapenbeheersing, bestrijding van proliferatie van massavernietigingswapens en het voeren van een transparant en verantwoord wapenexportbeleid",bijdragen aan medeoverheden,CTBTO,,,"1,920",1920,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Subsidies,Landenprogramma's veiligheid voor mensen (stabiliteitsfonds),,,"20,500",26500,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Subsidies,Nederland Helsinki Comité,,,28,28,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",bijdragen aan medeoverheden,OVSE,,,"7,195",7195,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",bijdragen aan medeoverheden,VN-contributie voor crisisbeheersingsoperaties,,,"102,000",102000,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",bijdragen aan medeoverheden,waarvan landenprogramma's veiligheid voor mensen (stabiliteitsfonds),,,"69,400",58400,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.5,Bevordering van transitie in prioritaire gebieden,Bijdragenovereenkomst,Landenprogramma's hervormingen Arabische Regio,,,"8,118",8618,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,U,N,2.5,Bevordering van transitie in prioritaire gebieden,bijdragen aan medeoverheden,MATRA-programma's,,,"10,420",10822,,,,,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,O,N,2.10,Ontvangsten,,Doorberekening Defensie diversen,,168,182,197,212,227,242,242,,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,beleidsartikel,Nee,Programma,O,N,2.40,Ontvangsten,,Restituties contributies,,"1,008","1,000",1000,"1,000","1,000","1,000","1,000",,
2016,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,beleidsartikel,Nee,Programma,U,N,3.1,"Een democratische, slagvaardige en transparante Europese Unie die haar burgers vrijheid, recht, veiligheid, welvaart en duurzame economische groei biedt",bijdragen aan medeoverheden,BNP-afdracht,,,"4,366,569",4238910,,,,,,
